TEAM_ABBREVIATION,TEAM_NAME,GAME_DATE,is_home,PTS,OPP_PTS,OPP_TEAM_NAME,_season
LAL,Los Angeles Lakers,2021-10-03,True,97,123,Brooklyn Nets,2025-26
BKN,Brooklyn Nets,2021-10-03,False,123,97,Los Angeles Lakers,2025-26
TOR,Toronto Raptors,2021-10-04,True,123,107,Philadelphia 76ers,2025-26
PHI,Philadelphia 76ers,2021-10-04,False,107,123,Toronto Raptors,2025-26
BOS,Boston Celtics,2021-10-04,True,98,97,Orlando Magic,2025-26
ORL,Orlando Magic,2021-10-04,False,97,98,Boston Celtics,2025-26
MIA,Miami Heat,2021-10-04,True,125,99,Atlanta Hawks,2025-26
ATL,Atlanta Hawks,2021-10-04,False,99,125,Miami Heat,2025-26
MIN,Minnesota Timberwolves,2021-10-05,True,117,114,New Orleans Pelicans,2025-26
NO,New Orleans Pelicans,2021-10-05,False,114,117,Minnesota Timberwolves,2025-26
OKC,Oklahoma City Thunder,2021-10-05,True,97,113,Charlotte Hornets,2025-26
CHA,Charlotte Hornets,2021-10-05,False,113,97,Oklahoma City Thunder,2025-26
SA,San Antonio Spurs,2021-10-05,True,111,85,Utah Jazz,2025-26
UTAH,Utah Jazz,2021-10-05,False,85,111,San Antonio Spurs,2025-26
POR,Portland Trail Blazers,2021-10-05,True,107,121,Golden State Warriors,2025-26
GS,Golden State Warriors,2021-10-05,False,121,107,Portland Trail Blazers,2025-26
SAC,Sacramento Kings,2021-10-05,True,117,106,Phoenix Suns,2025-26
PHX,Phoenix Suns,2021-10-05,False,106,117,Sacramento Kings,2025-26
LAC,LA Clippers,2021-10-05,True,103,102,Denver Nuggets,2025-26
DEN,Denver Nuggets,2021-10-05,False,102,103,LA Clippers,2025-26
NY,New York Knicks,2021-10-05,True,125,104,Indiana Pacers,2025-26
IND,Indiana Pacers,2021-10-05,False,104,125,New York Knicks,2025-26
CHI,Chicago Bulls,2021-10-06,True,131,95,Cleveland Cavaliers,2025-26
CLE,Cleveland Cavaliers,2021-10-06,False,95,131,Chicago Bulls,2025-26
HOU,Houston Rockets,2021-10-06,True,125,119,Washington Wizards,2025-26
WSH,Washington Wizards,2021-10-06,False,119,125,Houston Rockets,2025-26
MEM,Memphis Grizzlies,2021-10-06,True,87,77,Milwaukee Bucks,2025-26
MIL,Milwaukee Bucks,2021-10-06,False,77,87,Memphis Grizzlies,2025-26
PHX,Phoenix Suns,2021-10-06,True,117,105,Los Angeles Lakers,2025-26
LAL,Los Angeles Lakers,2021-10-06,False,105,117,Phoenix Suns,2025-26
DET,Detroit Pistons,2021-10-06,True,115,105,San Antonio Spurs,2025-26
SA,San Antonio Spurs,2021-10-06,False,105,115,Detroit Pistons,2025-26
ATL,Atlanta Hawks,2021-10-06,True,96,99,Cleveland Cavaliers,2025-26
CLE,Cleveland Cavaliers,2021-10-06,False,99,96,Atlanta Hawks,2025-26
NO,New Orleans Pelicans,2021-10-07,True,104,86,Orlando Magic,2025-26
ORL,Orlando Magic,2021-10-07,False,86,104,New Orleans Pelicans,2025-26
DAL,Dallas Mavericks,2021-10-07,True,111,101,Utah Jazz,2025-26
UTAH,Utah Jazz,2021-10-07,False,101,111,Dallas Mavericks,2025-26
GS,Golden State Warriors,2021-10-07,True,118,116,Denver Nuggets,2025-26
DEN,Denver Nuggets,2021-10-07,False,116,118,Golden State Warriors,2025-26
LAC,LA Clippers,2021-10-07,True,98,113,Sacramento Kings,2025-26
SAC,Sacramento Kings,2021-10-07,False,113,98,LA Clippers,2025-26
CHA,Charlotte Hornets,2021-10-07,True,98,128,Memphis Grizzlies,2025-26
MEM,Memphis Grizzlies,2021-10-07,False,128,98,Charlotte Hornets,2025-26
PHI,Philadelphia 76ers,2021-10-07,True,125,113,Toronto Raptors,2025-26
TOR,Toronto Raptors,2021-10-07,False,113,125,Philadelphia 76ers,2025-26
HOU,Houston Rockets,2021-10-08,True,106,113,Miami Heat,2025-26
MIA,Miami Heat,2021-10-08,False,113,106,Houston Rockets,2025-26
CLE,Cleveland Cavaliers,2021-10-08,True,100,109,Indiana Pacers,2025-26
IND,Indiana Pacers,2021-10-08,False,109,100,Cleveland Cavaliers,2025-26
BKN,Brooklyn Nets,2021-10-08,True,119,115,Milwaukee Bucks,2025-26
MIL,Milwaukee Bucks,2021-10-08,False,115,119,Brooklyn Nets,2025-26
CHI,Chicago Bulls,2021-10-09,True,121,85,New Orleans Pelicans,2025-26
NO,New Orleans Pelicans,2021-10-09,False,85,121,Chicago Bulls,2025-26
DAL,Dallas Mavericks,2021-10-09,True,122,114,LA Clippers,2025-26
LAC,LA Clippers,2021-10-09,False,114,122,Dallas Mavericks,2025-26
SA,San Antonio Spurs,2021-10-09,True,105,109,Miami Heat,2025-26
MIA,Miami Heat,2021-10-09,False,109,105,San Antonio Spurs,2025-26
DEN,Denver Nuggets,2021-10-09,True,112,114,Minnesota Timberwolves,2025-26
MIN,Minnesota Timberwolves,2021-10-09,False,114,112,Denver Nuggets,2025-26
GS,Golden State Warriors,2021-10-09,True,121,114,Los Angeles Lakers,2025-26
LAL,Los Angeles Lakers,2021-10-09,False,114,121,Golden State Warriors,2025-26
BOS,Boston Celtics,2021-10-09,True,113,111,Toronto Raptors,2025-26
TOR,Toronto Raptors,2021-10-09,False,111,113,Boston Celtics,2025-26
WSH,Washington Wizards,2021-10-09,True,99,117,New York Knicks,2025-26
NY,New York Knicks,2021-10-09,False,117,99,Washington Wizards,2025-26
MEM,Memphis Grizzlies,2021-10-10,True,87,91,Atlanta Hawks,2025-26
ATL,Atlanta Hawks,2021-10-10,False,91,87,Memphis Grizzlies,2025-26
ORL,Orlando Magic,2021-10-10,True,100,101,San Antonio Spurs,2025-26
SA,San Antonio Spurs,2021-10-10,False,101,100,Orlando Magic,2025-26
CLE,Cleveland Cavaliers,2021-10-10,True,101,102,Chicago Bulls,2025-26
CHI,Chicago Bulls,2021-10-10,False,102,101,Cleveland Cavaliers,2025-26
MIL,Milwaukee Bucks,2021-10-10,True,130,110,Oklahoma City Thunder,2025-26
OKC,Oklahoma City Thunder,2021-10-10,False,110,130,Milwaukee Bucks,2025-26
LAL,Los Angeles Lakers,2021-10-11,True,94,123,Phoenix Suns,2025-26
PHX,Phoenix Suns,2021-10-11,False,123,94,Los Angeles Lakers,2025-26
TOR,Toronto Raptors,2021-10-11,True,107,92,Houston Rockets,2025-26
HOU,Houston Rockets,2021-10-11,False,92,107,Toronto Raptors,2025-26
MIA,Miami Heat,2021-10-11,True,104,103,Charlotte Hornets,2025-26
CHA,Charlotte Hornets,2021-10-11,False,103,104,Miami Heat,2025-26
PHI,Philadelphia 76ers,2021-10-12,True,115,104,Brooklyn Nets,2025-26
BKN,Brooklyn Nets,2021-10-12,False,104,115,Philadelphia 76ers,2025-26
MEM,Memphis Grizzlies,2021-10-12,True,127,92,Detroit Pistons,2025-26
DET,Detroit Pistons,2021-10-12,False,92,127,Memphis Grizzlies,2025-26
UTAH,Utah Jazz,2021-10-12,True,127,96,New Orleans Pelicans,2025-26
NO,New Orleans Pelicans,2021-10-12,False,96,127,Utah Jazz,2025-26
POR,Portland Trail Blazers,2021-10-12,True,93,107,Sacramento Kings,2025-26
SAC,Sacramento Kings,2021-10-12,False,107,93,Portland Trail Blazers,2025-26
LAC,LA Clippers,2021-10-12,True,100,128,Minnesota Timberwolves,2025-26
MIN,Minnesota Timberwolves,2021-10-12,False,128,100,LA Clippers,2025-26
WSH,Washington Wizards,2021-10-12,True,108,113,Toronto Raptors,2025-26
TOR,Toronto Raptors,2021-10-12,False,113,108,Washington Wizards,2025-26
LAL,Los Angeles Lakers,2021-10-13,True,99,111,Golden State Warriors,2025-26
GS,Golden State Warriors,2021-10-13,False,111,99,Los Angeles Lakers,2025-26
PHX,Phoenix Suns,2021-10-13,True,119,74,Portland Trail Blazers,2025-26
POR,Portland Trail Blazers,2021-10-13,False,74,119,Phoenix Suns,2025-26
CHA,Charlotte Hornets,2021-10-13,True,59,127,Dallas Mavericks,2025-26
DAL,Dallas Mavericks,2021-10-13,False,127,59,Charlotte Hornets,2025-26
IND,Indiana Pacers,2021-10-13,True,109,107,Memphis Grizzlies,2025-26
MEM,Memphis Grizzlies,2021-10-13,False,107,109,Indiana Pacers,2025-26
ORL,Orlando Magic,2021-10-13,True,103,102,Boston Celtics,2025-26
BOS,Boston Celtics,2021-10-13,False,102,103,Orlando Magic,2025-26
NY,New York Knicks,2021-10-13,True,108,100,Detroit Pistons,2025-26
DET,Detroit Pistons,2021-10-13,False,100,108,New York Knicks,2025-26
OKC,Oklahoma City Thunder,2021-10-14,True,108,99,Denver Nuggets,2025-26
DEN,Denver Nuggets,2021-10-14,False,99,108,Oklahoma City Thunder,2025-26
UTAH,Utah Jazz,2021-10-14,True,124,120,Milwaukee Bucks,2025-26
MIL,Milwaukee Bucks,2021-10-14,False,120,124,Utah Jazz,2025-26
ATL,Atlanta Hawks,2021-10-14,True,127,92,Miami Heat,2025-26
MIA,Miami Heat,2021-10-14,False,92,127,Atlanta Hawks,2025-26
BKN,Brooklyn Nets,2021-10-14,True,107,101,Minnesota Timberwolves,2025-26
MIN,Minnesota Timberwolves,2021-10-14,False,101,107,Brooklyn Nets,2025-26
OKC,Oklahoma City Thunder,2021-10-15,True,107,113,Denver Nuggets,2025-26
